[2021-07-14T21:13:10] Price  Now:1970.24, Amount:0.0052, Operate_price:1930
[2021-07-14T21:44:10] Price  Now:7.36e-06, Amount:1410437.0, Operate_price:7.09e-06
[2021-07-15T09:00:24] Price  Now:2024.0, Amount:0.0051, Operate_price:19701
[2021-07-15T18:31:20] Price  Now:1929.67, Amount:0.0052, Operate_price:1930
[2021-07-15T21:25:37] Price  Now:1885.53, Amount:0.0053, Operate_price:1890
[2021-07-16T16:28:28] Price  Now:6.78e-06, Amount:1461988.0, Operate_price:6.84e-06
[2021-07-18T08:55:22] Price  Now:1970.41, Amount:0.0052, Operate_price:1930
[2021-07-18T23:56:49] Price  Now:1888.33, Amount:0.0053, Operate_price:1890
[2021-07-19T09:16:48] Price  Now:6.5e-06, Amount:1517451.0, Operate_price:6.59e-06
[2021-07-19T20:30:11] Price  Now:1845.0, Amount:0.0054, Operate_price:1850
[2021-07-19T20:35:05] Price  Now:6.21e-06, Amount:1577287.0, Operate_price:6.34e-06
[2021-07-20T09:13:07] Price  Now:1800.0, Amount:0.0055, Operate_price:1810
[2021-07-20T10:26:50] Price  Now:5.94e-06, Amount:1642036.0, Operate_price:6.09e-06
[2021-07-20T10:44:15] Price  Now:1756.76, Amount:0.0056, Operate_price:1770
[2021-07-21T12:29:59] Price  Now:1851.86, Amount:0.0055, Operate_price:1810
[2021-07-21T18:07:35] Price  Now:1902.41, Amount:0.0054, Operate_price:1850
[2021-07-21T23:55:16] Price  Now:1954.28, Amount:0.0053, Operate_price:1890
[2021-07-21T23:58:27] Price  Now:6.6e-06, Amount:1577287.0, Operate_price:6.34e-06
[2021-07-22T00:36:43] Price  Now:6.93e-06, Amount:1517451.0, Operate_price:6.59e-06
[2021-07-22T02:13:36] Price  Now:2013.54, Amount:0.0052, Operate_price:1930
[2021-07-23T10:07:26] Price  Now:2071.48, Amount:0.0051, Operate_price:1970
[2021-07-24T00:07:04] Price  Now:6.23e-06, Amount:1577287.0, Operate_price:6.34e-06
[2021-07-24T11:57:08] Price  Now:2130.71, Amount:0.005, Operate_price:2010
[2021-08-01T04:43:23] Price  Now:2494.08, Amount:0.0137, Operate_price:2210
[2021-08-01T10:41:42] Price  Now:2582.37, Amount:0.0155, Operate_price:2250
[2021-08-02T04:08:06] Price  Now:2678.45, Amount:0.0175, Operate_price:2290
[2021-08-05T22:12:41] Price  Now:2782.13, Amount:0.0198, Operate_price:2330
[2021-08-07T01:45:52] Price  Now:2898.04, Amount:0.0224, Operate_price:2370
[2021-08-07T17:56:30] Price  Now:7.1e-06, Amount:2192982.0, Operate_price:6.84e-0
[2021-08-07T20:04:56] Price  Now:3118.56, Amount:0.0291, Operate_price:2410
[2021-08-08T07:52:36] Price  Now:7.86e-06, Amount:4255340.0, Operate_price:7.09e-06
[2021-08-08T08:25:50] Price  Now:8.24e-06, Amount:4726963.0, Operate_price:7.34e-06
[2021-08-08T08:47:44] Price  Now:8.67e-06, Amount:5256956.0, Operate_price:7.59e-06
[2021-08-09T03:08:18] Price  Now:7.29e-06, Amount:687677.0, Operate_price:7.34e-06
[2021-08-09T19:11:56] Price  Now:7.85e-06, Amount:1976285.0, Operate_price:7.59e-0
[2021-08-10T23:32:23] Price  Now:7.46e-06, Amount:685494.0, Operate_price:7.49e-06
[2021-08-11T00:30:46] Price  Now:7.34e-06, Amount:689220.0, Operate_price:7.39e-06
[2021-08-11T03:32:54] Price  Now:7.6e-06, Amount:2002670.0, Operate_price:7.49e-06
[2021-08-11T09:25:05] Price  Now:7.72e-06, Amount:2213439.0, Operate_price:7.59e-06
[2021-08-11T13:17:33] Price  Now:7.85e-06, Amount:2446814.0, Operate_price:7.69e-06
[2021-08-11T22:18:21] Price  Now:7.98e-06, Amount:2705253.0, Operate_price:7.79e-06
[2021-08-11T22:24:44] Price  Now:8.11e-06, Amount:2991482.0, Operate_price:7.89e-06
[2021-08-11T22:32:45] Price  Now:8.25e-06, Amount:3308526.0, Operate_price:7.99e-06
[2021-08-11T22:41:41] Price  Now:3272.8, Amount:0.0329, Operate_price:2450
[2021-08-12T05:16:53] Price  Now:7.85e-06, Amount:1901141.0, Operate_price:7.89e-06
[2021-08-12T06:28:08] Price  Now:7.75e-06, Amount:2118100.0, Operate_price:7.79e-06
[SELL 2021-08-12T09:21:36] Price  Now:3203.32, Amount:0.0062, Operate_price:3040
[SELL 2021-08-12T09:22:06] Price  Now:8e-06, Amount:1901141.0, Operate_price:7.89e-06
[SELL 2021-08-12T09:55:12] Price  Now:8.12e-06, Amount:2065081.0, Operate_price:7.99e-06
[BUY 2021-08-12T13:13:17] Price  Now:7.86e-06, Amount:1901141.0, Operate_price:7.89e-06
[BUY 2021-08-12T13:28:04] Price  Now:7.75e-06, Amount:2021823.0, Operate_price:7.79e-06
[SELL 2021-08-12T16:15:56] Price  Now:8e-06, Amount:1901141.0, Operate_price:7.89e-06
[SELL 2021-08-12T16:39:46] Price  Now:8.12e-06, Amount:2065081.0, Operate_price:7.99e-06
[BUY 2021-08-12T17:09:36] Price  Now:7.86e-06, Amount:1901141.0, Operate_price:7.89e-06
[BUY 2021-08-12T20:30:13] Price  Now:7.75e-06, Amount:2021823.0, Operate_price:7.79e-06
[BUY 2021-08-12T22:09:23] Price  Now:7.65e-06, Amount:2150520.0, Operate_price:7.69e-06
[BUY 2021-08-12T22:28:56] Price  Now:7.54e-06, Amount:2287796.0, Operate_price:7.59e-06
[BUY 2021-08-13T00:23:11] Price  Now:2995.11, Amount:0.005, Operate_price:3000
[SELL 2021-08-13T09:18:33] Price  Now:7.8e-06, Amount:1950585.0, Operate_price:7.69e-06
[SELL 2021-08-13T14:32:51] Price  Now:3160.03, Amount:0.0049, Operate_price:3040
[SELL 2021-08-13T14:43:41] Price  Now:7.91e-06, Amount:2118100.0, Operate_price:7.79e-06
[SELL 2021-08-13T15:22:23] Price  Now:3216.06, Amount:0.0054, Operate_price:3080
[SELL 2021-08-13T19:13:07] Price  Now:8.04e-06, Amount:2300380.0, Operate_price:7.89e-06
[SELL 2021-08-14T04:08:05] Price  Now:3273.74, Amount:0.0058, Operate_price:3120
[SELL 2021-08-14T05:15:26] Price  Now:8.17e-06, Amount:2498748.0, Operate_price:7.99e-06
[BUY 2021-08-14T18:14:28] Price  Now:7.95e-06, Amount:1875000.0, Operate_price:8e-06
[BUY 2021-08-14T18:20:11] Price  Now:7.85e-06, Amount:1993671.0, Operate_price:7.9e-06
[SELL 2021-08-14T22:21:01] Price  Now:8.11e-06, Amount:1875000.0, Operate_price:8e-06
[SELL 2021-08-15T09:21:01] Price  Now:8.23e-06, Amount:2037037.0, Operate_price:8.1e-06
[SELL 2021-08-15T10:35:17] Price  Now:8.35e-06, Amount:2213415.0, Operate_price:8.2e-06
[BUY 2021-08-15T11:59:33] Price  Now:8.07e-06, Amount:1851852.0, Operate_price:8.1e-06
